西元日期,星期,是否放假,備註
20220101,六,2,開國紀念日
20220102,日,2,
20220103,一,0,
20220104,二,0,
20220105,三,0,
20220106,四,0,
20220107,五,0,
20220108,六,2,
20220109,日,2,
20220110,一,0,
20220111,二,0,
20220112,三,0,
20220113,四,0,
20220114,五,0,
20220115,六,2,
20220116,日,2,
20220117,一,0,
20220118,二,0,
20220119,三,0,
20220120,四,0,
20220121,五,0,
20220122,六,0,補行上班
20220123,日,2,
20220124,一,0,
20220125,二,0,
20220126,三,0,
20220127,四,0,
20220128,五,0,
20220129,六,2,
20220130,日,2,
20220131,一,2,農曆除夕
20220201,二,2,春節
20220202,三,2,春節
20220203,四,2,春節
20220204,五,2,調整放假
20220205,六,2,
20220206,日,2,
20220207,一,0,
20220208,二,0,
20220209,三,0,
20220210,四,0,
20220211,五,0,
20220212,六,2,
20220213,日,2,
20220214,一,0,
20220215,二,0,
20220216,三,0,
20220217,四,0,
20220218,五,0,
20220219,六,2,
20220220,日,2,
20220221,一,0,
20220222,二,0,
20220223,三,0,
20220224,四,0,
20220225,五,0,
20220226,六,2,
20220227,日,2,
20220228,一,2,和平紀念日
20220301,二,0,
20220302,三,0,
20220303,四,0,
20220304,五,0,
20220305,六,2,
20220306,日,2,
20220307,一,0,
20220308,二,0,
20220309,三,0,
20220310,四,0,
20220311,五,0,
20220312,六,2,
20220313,日,2,
20220314,一,0,
20220315,二,0,
20220316,三,0,
20220317,四,0,
20220318,五,0,
20220319,六,2,
20220320,日,2,
20220321,一,0,
20220322,二,0,
20220323,三,0,
20220324,四,0,
20220325,五,0,
20220326,六,2,
20220327,日,2,
20220328,一,0,
20220329,二,0,
20220330,三,0,
20220331,四,0,
20220401,五,0,
20220402,六,2,
20220403,日,2,
20220404,一,2,兒童節
20220405,二,2,民族掃墓節
20220406,三,0,
20220407,四,0,
20220408,五,0,
20220409,六,2,
20220410,日,2,
20220411,一,0,
20220412,二,0,
20220413,三,0,
20220414,四,0,
20220415,五,0,
20220416,六,2,
20220417,日,2,
20220418,一,0,
20220419,二,0,
20220420,三,0,
20220421,四,0,
20220422,五,0,
20220423,六,2,
20220424,日,2,
20220425,一,0,
20220426,二,0,
20220427,三,0,
20220428,四,0,
20220429,五,0,
20220430,六,2,
20220501,日,2,
20220502,一,0,
20220503,二,0,
20220504,三,0,
20220505,四,0,
20220506,五,0,
20220507,六,2,
20220508,日,2,
20220509,一,0,
20220510,二,0,
20220511,三,0,
20220512,四,0,
20220513,五,0,
20220514,六,2,
20220515,日,2,
20220516,一,0,
20220517,二,0,
20220518,三,0,
20220519,四,0,
20220520,五,0,
20220521,六,2,
20220522,日,2,
20220523,一,0,
20220524,二,0,
20220525,三,0,
20220526,四,0,
20220527,五,0,
20220528,六,2,
20220529,日,2,
20220530,一,0,
20220531,二,0,
20220601,三,0,
20220602,四,0,
20220603,五,2,端午節
20220604,六,2,
20220605,日,2,
20220606,一,0,
20220607,二,0,
20220608,三,0,
20220609,四,0,
20220610,五,0,
20220611,六,2,
20220612,日,2,
20220613,一,0,
20220614,二,0,
20220615,三,0,
20220616,四,0,
20220617,五,0,
20220618,六,2,
20220619,日,2,
20220620,一,0,
20220621,二,0,
20220622,三,0,
20220623,四,0,
20220624,五,0,
20220625,六,2,
20220626,日,2,
20220627,一,0,
20220628,二,0,
20220629,三,0,
20220630,四,0,
20220701,五,0,
20220702,六,2,
20220703,日,2,
20220704,一,0,
20220705,二,0,
20220706,三,0,
20220707,四,0,
20220708,五,0,
20220709,六,2,
20220710,日,2,
20220711,一,0,
20220712,二,0,
20220713,三,0,
20220714,四,0,
20220715,五,0,
20220716,六,2,
20220717,日,2,
20220718,一,0,
20220719,二,0,
20220720,三,0,
20220721,四,0,
20220722,五,0,
20220723,六,2,
20220724,日,2,
20220725,一,0,
20220726,二,0,
20220727,三,0,
20220728,四,0,
20220729,五,0,
20220730,六,2,
20220731,日,2,
20220801,一,0,
20220802,二,0,
20220803,三,0,
20220804,四,0,
20220805,五,0,
20220806,六,2,
20220807,日,2,
20220808,一,0,
20220809,二,0,
20220810,三,0,
20220811,四,0,
20220812,五,0,
20220813,六,2,
20220814,日,2,
20220815,一,0,
20220816,二,0,
20220817,三,0,
20220818,四,0,
20220819,五,0,
20220820,六,2,
20220821,日,2,
20220822,一,0,
20220823,二,0,
20220824,三,0,
20220825,四,0,
20220826,五,0,
20220827,六,2,
20220828,日,2,
20220829,一,0,
20220830,二,0,
20220831,三,0,
20220901,四,0,
20220902,五,0,
20220903,六,2,
20220904,日,2,
20220905,一,0,
20220906,二,0,
20220907,三,0,
20220908,四,0,
20220909,五,2,補假
20220910,六,2,中秋節
20220911,日,2,
20220912,一,0,
20220913,二,0,
20220914,三,0,
20220915,四,0,
20220916,五,0,
20220917,六,2,
20220918,日,2,
20220919,一,0,
20220920,二,0,
20220921,三,0,
20220922,四,0,
20220923,五,0,
20220924,六,2,
20220925,日,2,
20220926,一,0,
20220927,二,0,
20220928,三,0,
20220929,四,0,
20220930,五,0,
20221001,六,2,
20221002,日,2,
20221003,一,0,
20221004,二,0,
20221005,三,0,
20221006,四,0,
20221007,五,0,
20221008,六,2,
20221009,日,2,
20221010,一,2,國慶日
20221011,二,0,
20221012,三,0,
20221013,四,0,
20221014,五,0,
20221015,六,2,
20221016,日,2,
20221017,一,0,
20221018,二,0,
20221019,三,0,
20221020,四,0,
20221021,五,0,
20221022,六,2,
20221023,日,2,
20221024,一,0,
20221025,二,0,
20221026,三,0,
20221027,四,0,
20221028,五,0,
20221029,六,2,
20221030,日,2,
20221031,一,0,
20221101,二,0,
20221102,三,0,
20221103,四,0,
20221104,五,0,
20221105,六,2,
20221106,日,2,
20221107,一,0,
20221108,二,0,
20221109,三,0,
20221110,四,0,
20221111,五,0,
20221112,六,2,
20221113,日,2,
20221114,一,0,
20221115,二,0,
20221116,三,0,
20221117,四,0,
20221118,五,0,
20221119,六,2,
20221120,日,2,
20221121,一,0,
20221122,二,0,
20221123,三,0,
20221124,四,0,
20221125,五,0,
20221126,六,2,
20221127,日,2,
20221128,一,0,
20221129,二,0,
20221130,三,0,
20221201,四,0,
20221202,五,0,
20221203,六,2,
20221204,日,2,
20221205,一,0,
20221206,二,0,
20221207,三,0,
20221208,四,0,
20221209,五,0,
20221210,六,2,
20221211,日,2,
20221212,一,0,
20221213,二,0,
20221214,三,0,
20221215,四,0,
20221216,五,0,
20221217,六,2,
20221218,日,2,
20221219,一,0,
20221220,二,0,
20221221,三,0,
20221222,四,0,
20221223,五,0,
20221224,六,2,
20221225,日,2,
20221226,一,0,
20221227,二,0,
20221228,三,0,
20221229,四,0,
20221230,五,0,
20221231,六,2,
